simulation_id,event_type,event_time,event_step,fund_value_at_event,payoff,discount_factor,discounted_payoff
245,Survival,10.0,120,85531.11903365691,120000.0,0.44932896411722156,53919.47569406659
246,Lapse,1.8333333333333333,22,92496.0397249882,83246.43575248937,0.8635817900415641,71890.10600171483
247,Survival,10.0,120,570526.2177405391,570526.2177405391,0.44932896411722156,256353.95441907283
248,Survival,10.0,120,288665.1686519978,288665.1686519978,0.44932896411722156,129705.62120712524
249,Survival,10.0,120,473345.80527070834,473345.80527070834,0.44932896411722156,212687.98035151945
250,Lapse,1.25,15,91181.61575139928,82063.45417625936,0.9048374180359595,74254.0839919588
251,Survival,10.0,120,120087.50594632732,120087.50594632732,0.44932896411722156,53958.79465028394
252,Survival,10.0,120,136639.56760464518,136639.56760464518,0.44932896411722156,61396.115369220286
253,Survival,10.0,120,406903.3608412695,406903.3608412695,0.44932896411722156,182833.46562262363
254,Survival,10.0,120,98798.54971017165,120000.0,0.44932896411722156,53919.47569406659
255,Survival,10.0,120,98329.40034164213,120000.0,0.44932896411722156,53919.47569406659
256,Survival,10.0,120,133723.80352035083,133723.80352035083,0.44932896411722156,60085.9781136141
257,Survival,10.0,120,109580.08389434002,120000.0,0.44932896411722156,53919.47569406659
258,Disability,0.16666666666666666,2,105310.77841913918,110000.0,0.9867551618071957,108543.06779879153
259,Survival,10.0,120,210718.55878498,210718.55878498,0.44932896411722156,94681.95173912893
260,Death,3.083333333333333,37,154631.5305265506,154631.5305265506,0.781401117164081,120829.25070223834
261,Death,0.5833333333333333,7,83789.74034344354,130000.0,0.9544054797336466,124072.71236537407
262,Survival,10.0,120,71648.09338881947,120000.0,0.44932896411722156,53919.47569406659
263,Survival,10.0,120,95372.98225799206,120000.0,0.44932896411722156,53919.47569406659
264,Death,4.833333333333333,58,98475.87802147384,130000.0,0.679317496356421,88311.27452633473
265,Survival,10.0,120,215030.27008447607,215030.27008447607,0.44932896411722156,96619.32851090402
266,Lapse,2.25,27,85174.44611799443,76657.001506195,0.835270211411272,64029.30985423369
267,Survival,10.0,120,184454.42581606557,184454.42581606557,0.44932896411722156,82880.71607876963
268,Lapse,5.5,66,78320.46130908222,70488.41517817401,0.6440364210831414,45397.10663917377
269,Lapse,1.25,15,122634.4257649841,110370.9831884857,0.9048374180359595,99867.79545435969
270,Lapse,0.75,9,106499.86589635086,95849.87930671578,0.9417645335842487,90268.01687939573
271,Survival,10.0,120,178935.55479770945,178935.55479770945,0.44932896411722156,80400.92748099512
272,Lapse,5.916666666666666,71,61622.927856912545,55460.635071221295,0.6229223957684231,34547.6716694034
273,Death,5.333333333333333,64,158445.47091042,158445.47091042,0.6526810763306461,103414.360493529
274,Survival,10.0,120,116186.17052359521,120000.0,0.44932896411722156,53919.47569406659
275,Survival,10.0,120,95415.08319038531,120000.0,0.44932896411722156,53919.47569406659
276,Lapse,0.3333333333333333,4,123501.96169281809,111151.76552353629,0.973685749353145,108226.8901057095
277,Lapse,2.25,27,104183.15179091987,93764.8366118279,0.835270211411272,78318.97489970486
278,Survival,10.0,120,220073.10623816037,220073.10623816037,0.44932896411722156,98885.22085605185
279,Survival,10.0,120,423327.2396318515,423327.2396318515,0.44932896411722156,190213.19006638267
280,Death,9.916666666666666,119,142036.34481083736,142036.34481083736,0.452334497858877,64247.93870772043
281,Disability,0.5,6,78043.62412566556,110000.0,0.9607894391523232,105686.83830675556
282,Survival,10.0,120,368954.13785129256,368954.13785129256,0.44932896411722156,165781.78056748386
283,Survival,10.0,120,136265.7255792576,136265.7255792576,0.44932896411722156,61228.137319209396
284,Survival,10.0,120,106840.31711923228,120000.0,0.44932896411722156,53919.47569406659
285,Survival,10.0,120,113917.10062730161,120000.0,0.44932896411722156,53919.47569406659
286,Death,1.0833333333333333,13,147602.5137327821,147602.5137327821,0.9169827055971943,135348.95239563356
287,Lapse,2.083333333333333,25,114915.57257979708,103424.01532181738,0.8464817248906141,87546.53888472528
288,Survival,10.0,120,256626.44535358006,256626.44535358006,0.44932896411722156,115309.69485580889
289,Lapse,9.75,117,166898.53662808685,150208.68296527816,0.4584060113052235,68856.56322152403
290,Death,2.0,24,68689.85227149524,130000.0,0.8521437889662113,110778.69256560747
291,Lapse,4.5,54,97046.5255237001,87341.87297133009,0.697676326071031,60936.35704680026
292,Survival,10.0,120,171103.0382640081,171103.0382640081,0.44932896411722156,76881.55094047608
293,Lapse,5.833333333333333,70,170137.68957028442,153123.920613256,0.6270890852730561,96022.33931079076
294,Lapse,4.166666666666666,50,141669.4512703294,127502.50614329646,0.7165313105737893,91359.53782829882
295,Survival,10.0,120,1021626.2634555806,1021626.2634555806,0.44932896411722156,459046.2706734437
296,Survival,10.0,120,179699.63974535267,179699.63974535267,0.44932896411722156,80744.25297901721
297,Survival,10.0,120,157738.17655414078,157738.17655414078,0.44932896411722156,70876.33147281148
298,Lapse,4.833333333333333,58,76333.6871047241,68700.31839425169,0.679317496356421,46669.32829047204
299,Survival,10.0,120,237535.2018496612,237535.2018496612,0.44932896411722156,106731.4461884834
300,Survival,10.0,120,215236.5591971044,215236.5591971044,0.44932896411722156,96712.02018418995
